Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Weather.Condition,Broad.phase.of.flight,Decade,Flight.Category,Year
2000-01-01,"homestead, fl",united states,non-fatal,substantial,Unknown,cessna,550,no,2.0,turbo fan,positioning,vmc,cruise,2000,Commercial,2000
2000-01-01,"monteagle, tn",united states,fatal(2),destroyed,Unknown,bellanca,bl-17-30a,no,1.0,reciprocating,personal,imc,cruise,2000,General Aviation,2000
2000-01-02,"victorville, ca",united states,non-fatal,substantial,Unknown,cessna,172g,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-01-02,"dos palos, ca",united states,non-fatal,substantial,Unknown,cessna,172a,no,1.0,reciprocating,instructional,vmc,cruise,2000,Training,2000
2000-01-02,"corning, ar",united states,non-fatal,substantial,Unknown,piper,pa-46-310p,no,1.0,turbo prop,personal,vmc,cruise,2000,General Aviation,2000
2000-01-02,"odessa, tx",united states,non-fatal,substantial,Unknown,piper,pa-46-310p,no,1.0,reciprocating,personal,vmc,climb,2000,General Aviation,2000
2000-01-02,"telluride, co",united states,fatal(1),destroyed,Unknown,cessna,421b,no,2.0,reciprocating,personal,imc,climb,2000,General Aviation,2000
2000-01-03,"houston, tx",united states,non-fatal,substantial,Unknown,cessna,a185f,no,1.0,reciprocating,personal,vmc,climb,2000,General Aviation,2000
2000-01-03,"cordesville, sc",united states,fatal(2),substantial,Unknown,piper,pa-24-180,no,1.0,reciprocating,personal,vmc,approach,2000,General Aviation,2000
2000-01-04,"jackson, wy",united states,non-fatal,substantial,Unknown,beech,b200,no,2.0,turbo prop,personal,vmc,landing,2000,General Aviation,2000
2000-01-05,atlantic ocean,atlantic ocean,fatal(1),destroyed,Unknown,cessna,172r,no,1.0,reciprocating,instructional,vmc,descent,2000,Training,2000
2000-01-05,"brutus, ny",united states,non-fatal,substantial,Unknown,bell,206a,no,1.0,turbo shaft,aerial observation,vmc,maneuvering,2000,Aerial Work,2000
2000-01-06,"old forge, pa",united states,fatal(2),substantial,Unknown,cessna,310n,no,2.0,reciprocating,instructional,vmc,approach,2000,Training,2000
2000-01-06,"dunbar, wi",united states,fatal(1),destroyed,Unknown,beech,d-95a travelair,no,2.0,reciprocating,positioning,vmc,approach,2000,Commercial,2000
2000-01-07,"marysville, wa",united states,fatal(1),substantial,Unknown,cessna,150g,no,1.0,reciprocating,personal,vmc,climb,2000,General Aviation,2000
2000-01-07,"rialto, ca",united states,non-fatal,substantial,Unknown,cessna,177b,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-01-08,"harpswell, me",united states,non-fatal,substantial,Unknown,piper,pa-32r-301t,no,1.0,reciprocating,personal,vmc,takeoff,2000,General Aviation,2000
2000-01-08,"chino, ca",united states,non-fatal,substantial,Unknown,hawker,hunter f mk 4,no,1.0,turbo jet,ferry,vmc,approach,2000,Commercial,2000
2000-01-08,"huntsville, ut",united states,non-fatal,substantial,Unknown,cessna,172p,no,1.0,reciprocating,instructional,imc,maneuvering,2000,Training,2000
2000-01-08,"pueblo, co",united states,non-fatal,substantial,Unknown,piper,pa-28r-201,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-01-08,"rock springs, wy",united states,non-fatal,substantial,Unknown,piper,pa-23-250,no,2.0,reciprocating,personal,imc,cruise,2000,General Aviation,2000
2000-01-08,"macon, ga",united states,fatal(2),destroyed,Unknown,beech,23,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-01-09,"waynesburg, pa",united states,non-fatal,substantial,Unknown,bellanca,7eca,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-01-09,"sweeney, tx",united states,non-fatal,substantial,Unknown,piper,pa-32-300,no,1.0,reciprocating,instructional,vmc,cruise,2000,Training,2000
2000-01-09,"mount pleasant, sc",united states,fatal(1),destroyed,Unknown,mooney,m20m,no,1.0,reciprocating,personal,imc,maneuvering,2000,General Aviation,2000
2000-01-09,"albuquerque, nm",united states,non-fatal,substantial,Unknown,piper,pa-24-250,no,1.0,reciprocating,personal,vmc,standing,2000,General Aviation,2000
2000-01-10,"everett, wa",united states,non-fatal,substantial,Unknown,beech,d18s,no,2.0,reciprocating,positioning,imc,takeoff,2000,Commercial,2000
2000-01-10,"sherman, tx",united states,non-fatal,substantial,Unknown,taylorcraft,dco-65,no,1.0,reciprocating,personal,vmc,takeoff,2000,General Aviation,2000
2000-01-10,"angleton, tx",united states,non-fatal,substantial,Unknown,cessna,172r,no,1.0,reciprocating,aerial observation,vmc,landing,2000,Aerial Work,2000
2000-01-10,"coatesville, pa",united states,fatal(2),destroyed,Unknown,aerostar,601p,no,2.0,reciprocating,positioning,vmc,approach,2000,Commercial,2000
2000-01-11,"bradford, pa",united states,non-fatal,substantial,Unknown,piper,pa-46-310p,no,1.0,reciprocating,personal,imc,takeoff,2000,General Aviation,2000
2000-01-11,"mobile, az",united states,non-fatal,substantial,Unknown,beech,f-33a,no,1.0,reciprocating,instructional,vmc,climb,2000,Training,2000
2000-01-11,"lindrith, nm",united states,non-fatal,substantial,Unknown,bell,oh-58c,no,1.0,turbo shaft,public aircraft,vmc,maneuvering,2000,Government,2000
2000-01-11,"crows landing, ca",united states,fatal(2),destroyed,Unknown,arrow aircraft co.,oh-58a,no,1.0,turbo shaft,public aircraft,imc,cruise,2000,Government,2000
2000-01-13,"fillmore, ut",united states,non-fatal,substantial,Unknown,beech,k35,no,1.0,reciprocating,business,vmc,takeoff,2000,General Aviation,2000
2000-01-14,"kernville, ca",united states,non-fatal,substantial,Unknown,piper,pa-38-112,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-01-14,"livingston, tx",united states,non-fatal,substantial,Unknown,cessna,150f,no,1.0,reciprocating,aerial observation,vmc,maneuvering,2000,Aerial Work,2000
2000-01-14,"carlisle, ar",united states,fatal(1),destroyed,Unknown,cessna,152,no,1.0,reciprocating,instructional,vmc,maneuvering,2000,Training,2000
2000-01-14,"broomfield, co",united states,fatal(1),destroyed,Unknown,pilatus,pc-7,no,1.0,turbo prop,ferry,vmc,maneuvering,2000,Commercial,2000
2000-01-16,"rogersville, tn",united states,fatal(1),substantial,Unknown,beech,p-35,no,1.0,reciprocating,personal,imc,descent,2000,General Aviation,2000
2000-01-17,"brownsville, tx",united states,non-fatal,substantial,Unknown,cessna,340a,no,2.0,reciprocating,ferry,vmc,approach,2000,Commercial,2000
2000-01-17,"liberal, ks",united states,non-fatal,substantial,Unknown,cessna,172m,no,1.0,reciprocating,personal,imc,approach,2000,General Aviation,2000
2000-01-18,"sherwood, or",united states,non-fatal,substantial,Unknown,hughes,269c,no,1.0,reciprocating,personal,vmc,approach,2000,General Aviation,2000
2000-01-18,"willard, ky",united states,fatal(1),substantial,Unknown,cessna,195,no,1.0,reciprocating,personal,imc,maneuvering,2000,General Aviation,2000
2000-01-18,"brawley, ca",united states,non-fatal,substantial,Unknown,bell,oh-58c,no,1.0,turbo shaft,aerial application,vmc,maneuvering,2000,Aerial Work,2000
2000-01-18,"tooele, ut",united states,non-fatal,substantial,Unknown,cessna,172,no,1.0,reciprocating,personal,imc,takeoff,2000,General Aviation,2000
2000-01-18,"stanley, nd",united states,non-fatal,substantial,Unknown,cessna,182j,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-01-18,"somerset, ky",united states,fatal(4),destroyed,Unknown,beech,c-90,no,2.0,turbo prop,executive/corporate,imc,approach,2000,General Aviation,2000
2000-01-19,"palmetto, fl",united states,non-fatal,substantial,Unknown,aeronca,7ac,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-01-19,"tyler, tx",united states,non-fatal,substantial,Unknown,mooney,m20k,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-01-20,"fort myers, fl",united states,non-fatal,substantial,Unknown,bell,uh-1h,no,1.0,turbo shaft,public aircraft,vmc,maneuvering,2000,Government,2000
2000-01-20,"plainville, ct",united states,non-fatal,substantial,Unknown,cessna,t310r,no,2.0,reciprocating,business,imc,takeoff,2000,General Aviation,2000
2000-01-20,"spring branch, tx",united states,non-fatal,substantial,Unknown,cessna,310q,no,2.0,reciprocating,personal,vmc,takeoff,2000,General Aviation,2000
2000-01-21,"montpelier, vt",united states,non-fatal,substantial,Unknown,mooney,m20m,no,1.0,reciprocating,personal,vmc,climb,2000,General Aviation,2000
2000-01-21,"slidell, tx",united states,non-fatal,substantial,Unknown,cessna,152,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-01-21,"mexia, tx",united states,fatal(1),destroyed,Unknown,beech,95-b55,no,2.0,reciprocating,personal,vmc,maneuvering,2000,General Aviation,2000
2000-01-22,"deland, fl",united states,non-fatal,substantial,Unknown,stinson,108-3,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-01-22,"piru, ca",united states,non-fatal,substantial,Unknown,robinson,r22b,no,1.0,reciprocating,instructional,vmc,takeoff,2000,Training,2000
2000-01-22,"sand springs, ok",united states,non-fatal,substantial,Unknown,piper,pa-18a,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-01-22,"east troy, wi",united states,non-fatal,substantial,Unknown,robinson,r-22b,no,1.0,reciprocating,instructional,vmc,takeoff,2000,Training,2000
2000-01-22,"san antonio, tx",united states,fatal(2),destroyed,Unknown,mitsubishi,mu-2b-26a,no,2.0,turbo prop,personal,vmc,takeoff,2000,General Aviation,2000
2000-01-23,"boulder city, nv",united states,non-fatal,substantial,Unknown,cessna,310f,no,2.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-01-23,"plymouth, in",united states,non-fatal,substantial,Unknown,piper,pa-22-150,no,1.0,reciprocating,personal,vmc,taxi,2000,General Aviation,2000
2000-01-23,"pendleton, or",united states,fatal(2),destroyed,Unknown,mooney,m20k,no,1.0,reciprocating,personal,imc,takeoff,2000,General Aviation,2000
2000-01-25,"lincolnton, ga",united states,non-fatal,substantial,Unknown,cessna,172n,no,1.0,reciprocating,personal,vmc,takeoff,2000,General Aviation,2000
2000-01-25,"rayville, la",united states,non-fatal,substantial,Unknown,air tractor,at-401,no,1.0,reciprocating,aerial application,vmc,takeoff,2000,Aerial Work,2000
2000-01-26,"ocean reef club, fl",united states,non-fatal,substantial,Unknown,piper,pa-28-181,no,1.0,reciprocating,personal,vmc,taxi,2000,General Aviation,2000
2000-01-26,"oakland, ca",united states,non-fatal,substantial,Unknown,grumman american,ag5b,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-01-26,"five points, ca",united states,non-fatal,substantial,Unknown,hiller,uh-12e,no,1.0,reciprocating,aerial application,vmc,maneuvering,2000,Aerial Work,2000
2000-01-26,"oklahoma city, ok",united states,non-fatal,substantial,Unknown,cessna,414,no,2.0,reciprocating,positioning,imc,takeoff,2000,Commercial,2000
2000-01-27,"statesboro, ga",united states,non-fatal,substantial,Unknown,cessna,150l,no,1.0,reciprocating,instructional,vmc,takeoff,2000,Training,2000
2000-01-27,"dallas, tx",united states,non-fatal,substantial,Unknown,mitsubishi,mu-300,no,2.0,turbo fan,business,imc,approach,2000,General Aviation,2000
2000-01-27,"sarita, tx",united states,non-fatal,substantial,Unknown,robinson,r22 beta,no,1.0,reciprocating,other work use,vmc,landing,2000,Other Aerial Work,2000
2000-01-29,"wiscasset, me",united states,non-fatal,substantial,Unknown,cessna,150,no,1.0,reciprocating,other work use,vmc,standing,2000,Other Aerial Work,2000
2000-01-29,"kissimmee, fl",united states,non-fatal,substantial,Unknown,cessna,152,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-01-29,"windsor, ca",united states,non-fatal,substantial,Unknown,cessna,150f,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-01-30,"hana, maui, hi",united states,non-fatal,substantial,Unknown,robinson,r22b,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-01-30,"napa, ca",united states,non-fatal,substantial,Unknown,siai-marchetti,sf260,no,1.0,reciprocating,business,vmc,approach,2000,General Aviation,2000
2000-01-30,"taft, ca",united states,non-fatal,substantial,Unknown,cessna,152,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-01-31,"myrtle beach, sc",united states,non-fatal,substantial,Unknown,beech,d50e,no,2.0,reciprocating,personal,vmc,taxi,2000,General Aviation,2000
2000-01-31,"snohomish, wa",united states,non-fatal,destroyed,Unknown,cessna,177,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-02-01,"santa barbara, ca",united states,non-fatal,substantial,Unknown,piper,pa-28-180,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-02-02,"palo alto, ca",united states,non-fatal,substantial,Unknown,robinson,r44,no,1.0,reciprocating,personal,vmc,approach,2000,General Aviation,2000
2000-02-02,"brawley, ca",united states,non-fatal,destroyed,Unknown,air tractor,at-301,no,1.0,reciprocating,aerial application,vmc,maneuvering,2000,Aerial Work,2000
2000-02-03,"farmington, nm",united states,non-fatal,substantial,Unknown,beech,a36,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-02-03,"knox, in",united states,non-fatal,substantial,Unknown,beech,a23,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-02-04,"andrews, nc",united states,non-fatal,substantial,Unknown,mooney,m-20c,no,1.0,reciprocating,personal,imc,maneuvering,2000,General Aviation,2000
2000-02-04,"fayette, al",united states,non-fatal,substantial,Unknown,piper,pa-28r-200,no,1.0,reciprocating,personal,vmc,go-around,2000,General Aviation,2000
2000-02-04,"frisco, tx",united states,fatal(2),destroyed,Unknown,piper,pa-28-180,no,1.0,reciprocating,personal,vmc,maneuvering,2000,General Aviation,2000
2000-02-05,"alton bay, nh",united states,non-fatal,substantial,Unknown,piper,pa-24,no,1.0,reciprocating,personal,vmc,takeoff,2000,General Aviation,2000
2000-02-05,"honolulu, hi",united states,non-fatal,substantial,Unknown,piper,pa-28-161,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-02-05,"chesterfield, mo",united states,non-fatal,substantial,Unknown,cessna,172,no,1.0,reciprocating,personal,vmc,takeoff,2000,General Aviation,2000
2000-02-05,"albuquerque, nm",united states,non-fatal,destroyed,Unknown,beech,m35,no,1.0,reciprocating,personal,vmc,takeoff,2000,General Aviation,2000
2000-02-06,"vincentown, nj",united states,non-fatal,substantial,Unknown,piper,pa-28-140,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-02-06,"larandia, colombia",colombia,non-fatal,destroyed,Unknown,rockwell,ov-10d,no,2.0,turbo prop,public aircraft,vmc,climb,2000,Government,2000
2000-02-07,"kahlotus, wa",united states,non-fatal,substantial,Unknown,rockwell,s-2r,no,1.0,unknown,aerial application,vmc,maneuvering,2000,Aerial Work,2000
2000-02-07,"wildwood, nj",united states,non-fatal,substantial,Unknown,grumman american,aa1,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-02-07,"olive branch, ms",united states,non-fatal,substantial,Unknown,cessna,172r,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-02-07,"louisburg, nc",united states,non-fatal,substantial,Unknown,cessna,152,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-02-07,"flagstaff, az",united states,non-fatal,substantial,Unknown,cessna,310l,no,2.0,reciprocating,personal,vmc,approach,2000,General Aviation,2000
2000-02-07,"bermuda dunes, ca",united states,non-fatal,substantial,Unknown,cessna,172n,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-02-07,"sylmar, ca",united states,fatal(4),destroyed,Unknown,bellanca,8gcbc,no,1.0,reciprocating,aerial observation,vmc,maneuvering,2000,Aerial Work,2000
2000-02-07,"redwood city, ca",united states,fatal(1),destroyed,Unknown,cessna,150j,no,1.0,reciprocating,personal,imc,cruise,2000,General Aviation,2000
2000-02-08,"englewood, fl",united states,non-fatal,substantial,Unknown,cessna,150f,no,1.0,reciprocating,personal,vmc,takeoff,2000,General Aviation,2000
2000-02-08,"glendale, az",united states,non-fatal,substantial,Unknown,cessna,210e,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-02-08,"new braunfels, tx",united states,fatal(1),substantial,Unknown,beech,b23,no,1.0,reciprocating,instructional,vmc,maneuvering,2000,Training,2000
2000-02-08,"alma, mi",united states,non-fatal,substantial,Unknown,piper,pa-38-112,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-02-08,"glennallen, ak",united states,non-fatal,substantial,Unknown,cessna,180,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-02-08,"zion, il",united states,fatal(3),destroyed,Unknown,cessna,172p,no,1.0,reciprocating,instructional,vmc,approach,2000,Training,2000
2000-02-08,"zion, il",united states,fatal(3),destroyed,Unknown,moravan,z242l,no,1.0,reciprocating,personal,vmc,approach,2000,General Aviation,2000
2000-02-09,"monroe, ga",united states,non-fatal,substantial,Unknown,beech,f90,no,2.0,turbo prop,business,vmc,taxi,2000,General Aviation,2000
2000-02-09,"lyndonville, vt",united states,non-fatal,substantial,Unknown,cessna,172,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-02-09,"odessa, fl",united states,fatal(2),substantial,Unknown,mooney,m20j,no,1.0,reciprocating,personal,vmc,approach,2000,General Aviation,2000
2000-02-09,"hartford, ct",united states,incident,minor,Unknown,cessna,182p,no,1.0,reciprocating,personal,vmc,taxi,2000,General Aviation,2000
2000-02-09,"schaumburg, il",united states,non-fatal,destroyed,Unknown,beech,v35,no,1.0,reciprocating,personal,vmc,approach,2000,General Aviation,2000
2000-02-10,"salisbury, nc",united states,non-fatal,substantial,Unknown,beech,76,no,2.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-02-11,"woods cross, ut",united states,fatal(2),destroyed,Unknown,bell,oh-58a+,no,1.0,turbo shaft,public aircraft,vmc,maneuvering,2000,Government,2000
2000-02-12,"saratoga sprngs, ny",united states,non-fatal,substantial,Unknown,cessna,185,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-02-12,"reserve, nm",united states,non-fatal,substantial,Unknown,maule,m-6-235,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-02-12,"olathe, ks",united states,non-fatal,substantial,Unknown,beech,a36,no,1.0,reciprocating,personal,vmc,approach,2000,General Aviation,2000
2000-02-12,"clearwater, fl",united states,non-fatal,substantial,Unknown,cessna,c-140a,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-02-12,"clearwater, fl",united states,non-fatal,substantial,Unknown,cessna,152,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-02-13,"norridgewock, me",united states,non-fatal,substantial,Unknown,cessna,172,no,1.0,reciprocating,instructional,vmc,takeoff,2000,Training,2000
2000-02-13,"college station, tx",united states,non-fatal,substantial,Unknown,piper,pa-24-250,no,1.0,reciprocating,personal,vmc,approach,2000,General Aviation,2000
2000-02-13,"dayton, tn",united states,fatal(1),destroyed,Unknown,beech,35-p35,no,1.0,reciprocating,personal,imc,climb,2000,General Aviation,2000
2000-02-14,pacific ocean,pacific ocean,non-fatal,destroyed,Unknown,hughes,369hs,no,1.0,turbo shaft,aerial observation,vmc,cruise,2000,Aerial Work,2000
2000-02-14,"west lafayette, oh",united states,non-fatal,substantial,Unknown,taylorcraft,f19,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-02-14,"houston, tx",united states,non-fatal,substantial,Unknown,beech,be-35k,no,1.0,reciprocating,personal,imc,approach,2000,General Aviation,2000
2000-02-14,"cynthiana, ky",united states,fatal(4),destroyed,Unknown,beech,58,no,2.0,reciprocating,business,imc,climb,2000,General Aviation,2000
2000-02-14,"coulterville, ca",united states,fatal(2),destroyed,Unknown,cessna,182l,no,1.0,reciprocating,personal,imc,cruise,2000,General Aviation,2000
2000-02-15,"parkertown, oh",united states,non-fatal,substantial,Unknown,piper,pa-28-236,no,1.0,reciprocating,personal,vmc,maneuvering,2000,General Aviation,2000
2000-02-15,"riverbank, ca",united states,non-fatal,substantial,Unknown,bell,47g5,no,1.0,reciprocating,aerial application,vmc,takeoff,2000,Aerial Work,2000
2000-02-15,"elfrida, az",united states,non-fatal,substantial,Unknown,cessna,t210m,no,1.0,reciprocating,public aircraft,vmc,cruise,2000,Government,2000
2000-02-15,"palm springs, ca",united states,non-fatal,substantial,Unknown,cessna,172n,no,1.0,reciprocating,instructional,vmc,approach,2000,Training,2000
2000-02-15,"chamblee, ga",united states,fatal(1),substantial,Unknown,piper,pa-28-161,no,1.0,reciprocating,instructional,vmc,takeoff,2000,Training,2000
2000-02-15,"parkertown, oh",united states,non-fatal,minor,Unknown,cessna,172m,no,1.0,reciprocating,personal,vmc,climb,2000,General Aviation,2000
2000-02-15,"palm springs, ca",united states,non-fatal,minor,Unknown,piper,pa-28-140,no,1.0,reciprocating,instructional,vmc,approach,2000,Training,2000
2000-02-16,"billings, mt",united states,non-fatal,substantial,Unknown,cessna,152,no,1.0,reciprocating,instructional,vmc,takeoff,2000,Training,2000
2000-02-16,"mount holly, nj",united states,non-fatal,substantial,Unknown,piper,pa-28r-200,no,1.0,reciprocating,personal,vmc,takeoff,2000,General Aviation,2000
2000-02-16,"mcalester, ok",united states,fatal(1),destroyed,airplane,cessna,182m,no,1.0,reciprocating,personal,vmc,maneuvering,2000,General Aviation,2000
2000-02-17,"willow, ak",united states,non-fatal,substantial,Unknown,piper,pa-18,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-02-17,"fort carson, co",united states,incident,substantial,Unknown,cessna,tr182,no,1.0,reciprocating,business,vmc,approach,2000,General Aviation,2000
2000-02-18,"spangle, wa",united states,non-fatal,substantial,Unknown,cessna,150h,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-02-18,"sandusky, oh",united states,non-fatal,substantial,Unknown,cessna,310r,no,1.0,reciprocating,positioning,vmc,landing,2000,Commercial,2000
2000-02-19,"weir, tx",united states,non-fatal,substantial,Unknown,cessna,140,no,1.0,reciprocating,personal,vmc,takeoff,2000,General Aviation,2000
2000-02-19,"leesburg, fl",united states,non-fatal,substantial,Unknown,cessna,152,no,1.0,reciprocating,personal,vmc,approach,2000,General Aviation,2000
2000-02-20,"delray, fl",united states,non-fatal,substantial,Unknown,aerospatiale,sa341g,no,1.0,turbo shaft,personal,vmc,maneuvering,2000,General Aviation,2000
2000-02-20,"saginaw, mi",united states,non-fatal,substantial,Unknown,piper,pa-32-300,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-02-20,"nashville, tn",united states,non-fatal,substantial,Unknown,piper,pa-32-300,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-02-20,"tower, mn",united states,fatal(1),substantial,Unknown,cessna,180,no,1.0,reciprocating,personal,vmc,standing,2000,General Aviation,2000
2000-02-21,"byron, ca",united states,non-fatal,substantial,Unknown,hiller,h-12e,no,1.0,reciprocating,aerial application,vmc,maneuvering,2000,Aerial Work,2000
2000-02-21,"waterford, mi",united states,non-fatal,substantial,Unknown,cessna,172r,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-02-21,"wisconsin rapid, wi",united states,non-fatal,substantial,Unknown,cessna,150h,no,1.0,reciprocating,instructional,vmc,takeoff,2000,Training,2000
2000-02-22,"center harbor, nh",united states,non-fatal,substantial,Unknown,piper,pa-28-181,no,1.0,reciprocating,personal,vmc,maneuvering,2000,General Aviation,2000
2000-02-23,"plymouth, ma",united states,fatal(1),destroyed,Unknown,aerotechnik,l-13 seh vivat,no,1.0,reciprocating,instructional,vmc,approach,2000,Training,2000
2000-02-24,"clearwater, fl",united states,non-fatal,substantial,Unknown,north american,na-64,no,1.0,reciprocating,personal,vmc,descent,2000,General Aviation,2000
2000-02-24,"desert center, ca",united states,non-fatal,substantial,Unknown,beech,35,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-02-24,"el prado, nm",united states,fatal(1),destroyed,Unknown,cessna,182e,no,1.0,reciprocating,personal,imc,cruise,2000,General Aviation,2000
2000-02-24,"moorhead, mn",united states,fatal(3),destroyed,Unknown,beech,95-b55,no,2.0,reciprocating,business,imc,go-around,2000,General Aviation,2000
2000-02-25,"ophir, ak",united states,non-fatal,substantial,Unknown,cessna,180h,no,1.0,reciprocating,personal,vmc,taxi,2000,General Aviation,2000
2000-02-26,"karns, tn",united states,non-fatal,substantial,helicopter,bell,412,no,2.0,turbo shaft,positioning,vmc,maneuvering,2000,Commercial,2000
2000-02-26,"selma, ca",united states,non-fatal,substantial,Unknown,luscombe,8a,no,1.0,reciprocating,personal,vmc,taxi,2000,General Aviation,2000
2000-02-26,"san bernardino, ca",united states,non-fatal,substantial,Unknown,ercoupe (eng & research corp.),415-c,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-02-26,"alpine, tx",united states,non-fatal,substantial,Unknown,cessna,172k,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-02-26,"rush springs, ok",united states,non-fatal,substantial,Unknown,cessna,150l,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-02-26,"new ulm, tx",united states,non-fatal,substantial,Unknown,piper,pa-18,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-02-26,"boulder, co",united states,non-fatal,substantial,Unknown,mooney,m-20c,no,1.0,reciprocating,personal,vmc,approach,2000,General Aviation,2000
2000-02-27,"big bear city, ca",united states,non-fatal,substantial,Unknown,piper,pa-34-200,no,2.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-02-27,"marshall, mo",united states,non-fatal,substantial,Unknown,cessna,150m,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-02-27,"bloomington, in",united states,non-fatal,destroyed,Unknown,beech,be-35v,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-02-28,"dandridge, tn",united states,non-fatal,substantial,Unknown,cessna,150h,no,1.0,reciprocating,personal,vmc,maneuvering,2000,General Aviation,2000
2000-02-28,"brooksville, fl",united states,non-fatal,substantial,Unknown,cessna,150l,no,1.0,reciprocating,personal,vmc,approach,2000,General Aviation,2000
2000-02-28,"odessa, fl",united states,non-fatal,substantial,Unknown,hughes,th-55,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-02-28,"titusville, fl",united states,non-fatal,substantial,Unknown,piper,pa-23-160,no,2.0,reciprocating,personal,vmc,approach,2000,General Aviation,2000
2000-02-28,"prnce frederick, md",united states,fatal(1),destroyed,Unknown,cessna,337,no,2.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-02-29,"fort worth, tx",united states,non-fatal,substantial,Unknown,cessna,152,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
2000-03-01,"hazelton, pa",united states,non-fatal,substantial,Unknown,cessna,152,no,1.0,reciprocating,personal,vmc,landing,2000,General Aviation,2000
2000-03-01,"coalinga, ca",united states,non-fatal,substantial,Unknown,piper,pa-32r-301t,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-03-01,"macomb, il",united states,non-fatal,substantial,Unknown,cessna,210,no,1.0,reciprocating,ferry,vmc,cruise,2000,Commercial,2000
2000-03-02,"gillette, wy",united states,non-fatal,substantial,Unknown,cessna,p210n,no,1.0,reciprocating,personal,vmc,cruise,2000,General Aviation,2000
2000-03-04,"bozeman, mt",united states,non-fatal,substantial,Unknown,cessna,180h,no,1.0,reciprocating,instructional,vmc,landing,2000,Training,2000
